,Date,Unix,Ticker,DE Ratio,Price,Stock_p_change,SP500,SP500_p_change,Difference,Status
0,2004-01-30 19:01:02,1075507262.0,a,0.407,36.65,0.0,1131.13,0.0,0.0,underperform
1,2004-04-13 04:07:11,1081843631.0,a,0.375,31.87,-13.042291950886762,1129.44,-0.14940811400988874,-12.892883836876873,underperform
2,2004-12-13 21:37:34,1102991854.0,a,0.323,23.84,-34.95225102319236,1198.68,5.971904201992693,-40.92415522518505,underperform
3,2005-01-22 05:17:19,1106389039.0,a,0.322,21.8,-40.518417462482944,1184.63,4.7297834908454375,-45.24820095332838,underperform
4,2006-01-09 02:35:16,1136792116.0,a,0,34.65,-5.457025920873124,1290.15,14.058507863817596,-19.51553378469072,underperform
5,2006-06-21 11:01:16,1150902076.0,a,0.368,32.18,-12.19645293315143,1252.2,10.703455836199192,-22.899908769350624,underperform
6,2006-08-19 10:42:01,1155998521.0,a,0.396,31.8,-13.23328785811732,1295.43,14.525297711138412,-27.758585569255732,underperform
7,2007-02-20 17:46:56,1172011616.0,a,0.411,32.48,-11.377899045020468,1459.68,29.046175063874173,-40.424074108894644,underperform
8,2007-04-12 05:07:51,1176368871.0,a,0.411,34.62,-5.538881309686224,1447.8,27.995897907402316,-33.53477921708854,underperform
9,2008-01-23 19:28:50,1201134530.0,a,0.645,32.16,-12.251023192360169,1338.6,18.341835155994428,-30.592858348354596,underperform
10,2008-02-14 04:44:34,1202982274.0,a,0.645,32.68,-10.832196452933148,1348.86,19.248892700220114,-30.081089153153265,underperform
11,2008-04-26 04:49:23,1209199763.0,a,0.67,31.53,-13.969986357435191,1379.93,21.995703411632608,-35.9656897690678,underperform
12,2008-12-06 19:21:33,1228609293.0,a,0.83,17.26,-52.905866302864936,870.74,-23.020342489369046,-29.88552381349589,underperform
13,2004-04-13 04:20:10,1081844410.0,aa,0.595,34.26,0.0,1129.44,0.0,0.0,underperform
14,2004-09-09 16:15:45,1094760945.0,aa,0.561,32.89,-3.9988324576765835,1118.38,-0.979246352174524,-3.0195861055020594,underperform
15,2004-11-24 10:37:20,1101310640.0,aa,0.53,33.58,-1.9848219497956794,1181.76,4.632384190395234,-6.6172061401909135,underperform
16,2004-12-05 00:36:42,1102225002.0,aa,0.53,32.86,-4.086398131932278,1190.33,5.391167304150718,-9.477565436082998,underperform
17,2005-01-13 07:18:32,1105618712.0,aa,0.457,29.43,-14.098073555166371,1177.45,4.250779147187986,-18.348852702354357,underperform
18,2005-02-07 03:48:37,1107766117.0,aa,0.457,29.37,-14.27320490367775,1201.72,6.399631675874767,-20.672836579552516,underperform
19,2005-05-22 08:48:23,1116766103.0,aa,0.543,27.45,-19.87740805604203,1191.08,5.457571894035971,-25.334979950078,underperform
20,2006-06-20 04:32:21,1150792341.0,aa,0.526,29.1,-15.061295971978975,1240.12,9.799546677999702,-24.86084264997868,underperform
